"original address",latitude,longitude
"8484 Florin Rd Ste 70 Sacramento,CA",38.495439,-121.391192
"6660 Valley Hi Dr Sacramento,CA",38.472625,-121.426103
"7500 Elsie Ave Ste 107 Sacramento,CA",38.473816,-121.416158
"7728 Wilbur Way Sacramento,CA",38.477167,-121.398057
"5363 Auburn Blvd Sacramento,CA",38.667775,-121.338974
"2300 Sutterville Rd Ste B Sacramento,CA",38.53888,-121.486705
"3291 Truxel Rd Ste 18 Sacramento,CA",38.626082,-121.499185
"1725 Bell St Sacramento,CA",38.59701,-121.411135
"2338 Florin Rd Sacramento,CA",38.495693,-121.48432
"4445 Auburn Blvd Sacramento,CA",38.648463,-121.360532
"9137 Kiefer Blvd Sacramento,CA",38.548459,-121.360244
"8101 Freeport Blvd Sacramento,CA",38.461862,-121.501657
"7100 Fruitridge Rd Sacramento,CA",38.524496,-121.421053
"5530 Sky Pkwy Sacramento,CA",38.502073,-121.436717
"7223 Florin Mall Dr Sacramento,CA",38.494618,-121.433714
"5810 Folsom Blvd Sacramento,CA",38.557113,-121.436301
"2612 J Street, #1 Sacramento,CA",38.574174,-121.471394
"2531 J St Sacramento,CA",38.574814,-121.471998
"5220 Fruitridge Rd Sacramento,CA",38.524568,-121.445299
"2868 Northgate Blvd Sacramento,CA",38.617169,-121.475207
"4055 McKinley Blvd Sacramento,CA",38.578602,-121.447745
"3431 Watt Ave Sacramento,CA",38.62785,-121.383888
"2330 N St Sacramento,CA",38.570651,-121.476746
"2355 Florin Rd Sacramento,CA",38.497437,-121.483461
"1301 Florin Rd Sacramento,CA",38.496602,-121.510262
"2331 I St Sacramento,CA",38.576604,-121.47415
"7117 Walerga Rd Ste 5 Sacramento,CA",38.695916,-121.364142
"2103 P St Sacramento,CA",38.569799,-121.481015
"2313 Northgate Blvd Sacramento,CA",38.608797,-121.475593
"2690 Northgate Blvd Sacramento,CA",38.613577,-121.475183
"1826 Fulton Ave Sacramento,CA",38.598942,-121.401025
"6701 Franklin Blvd Sacramento,CA",38.504872,-121.463376
"7591 24th St Sacramento,CA",38.482162,-121.479915
"3025 Academy Way Sacramento,CA",38.623024,-121.424796
"1701 T St Sacramento,CA",38.566866,-121.488416
"3280 Northgate Blvd Sacramento,CA",38.626456,-121.474685
"401 W El Camino Ave Sacramento,CA",38.61143,-121.471958
"2533 Del Paso Blvd Sacramento,CA",38.613326,-121.446451
"2800 Rio Linda Blvd Sacramento,CA",38.618579,-121.445908
"3041 Rio Linda Blvd Sacramento,CA",38.622946,-121.446533
"1530 Auburn Blvd Sacramento,CA",38.61377,-121.431451
"2140 Grand Ave Sacramento,CA",38.636437,-121.41645
"5601 Wilkinson St Sacramento,CA",38.524763,-121.414032
"6945 Stockton Blvd Sacramento,CA",38.499163,-121.429921
"8164 Florin Rd Sacramento,CA",38.4956,-121.406001
"701 19th St Sacramento,CA",38.580129,-121.479606
"2005 11th St Sacramento,CA",38.568607,-121.496776
"2684 18th St Sacramento,CA",38.557179,-121.491547
"2694 Northgate Blvd Sacramento,CA",38.613609,-121.475227
"1811 Del Paso Blvd Sacramento,CA",38.60856,-121.45466
"739 Arden Way Sacramento,CA",38.606817,-121.449848
